timestamp,game,latency,map,killer,victim,points
2024-05-23 12:34:53,9,200,wrackdm17,Player_172.19.137.208,Player_172.19.116.18,3
2024-05-23 12:34:54,9,200,wrackdm17,<world>,Player_172.19.120.104,0
2024-05-23 12:34:57,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.137.208,9
2024-05-23 12:35:01,9,200,wrackdm17,Player_172.19.117.18,Player_172.19.114.48,10
2024-05-23 12:35:01,9,200,wrackdm17,Player_172.19.114.48,Player_172.19.117.18,11
2024-05-23 12:35:34,10,200,kaos2,<world>,Player_172.19.117.18,0
2024-05-23 12:35:43,10,200,kaos2,<world>,Player_172.19.120.104,0
2024-05-23 12:35:49,10,200,kaos2,<world>,Player_172.19.119.51,0
2024-05-23 12:36:12,10,200,kaos2,<world>,Player_172.19.137.208,0
2024-05-23 12:38:18,10,200,kaos2,<world>,Player_172.19.116.18,0
2024-05-23 12:46:22,11,50,aggressor,Player_172.19.137.208,Player_172.19.120.104,1
2024-05-23 12:46:23,11,50,aggressor,Player_172.19.114.48,Player_172.19.119.51,1
2024-05-23 12:46:27,11,50,aggressor,Player_172.19.117.18,Player_172.19.116.18,1
2024-05-23 12:46:28,11,50,aggressor,Player_172.19.114.48,Player_172.19.120.104,2
2024-05-23 12:46:28,11,50,aggressor,Player_172.19.119.51,Player_172.19.114.48,1
2024-05-23 12:46:34,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,2
2024-05-23 12:46:38,11,50,aggressor,Player_172.19.119.51,Player_172.19.116.18,2
2024-05-23 12:46:45,11,50,aggressor,Player_172.19.137.208,Player_172.19.114.48,2
2024-05-23 12:46:48,11,50,aggressor,Player_172.19.116.18,Player_172.19.120.104,1
2024-05-23 12:46:52,11,50,aggressor,Player_172.19.117.18,Player_172.19.119.51,0
2024-05-23 12:46:55,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,3
2024-05-23 12:46:56,11,50,aggressor,Player_172.19.114.48,Player_172.19.137.208,4
2024-05-23 12:46:59,11,50,aggressor,Player_172.19.119.51,Player_172.19.114.48,3
2024-05-23 12:47:07,11,50,aggressor,Player_172.19.119.51,Player_172.19.114.48,4
2024-05-23 12:47:07,11,50,aggressor,Player_172.19.114.48,Player_172.19.119.51,5
2024-05-23 12:47:17,11,50,aggressor,Player_172.19.117.18,Player_172.19.137.208,4
2024-05-23 12:47:17,11,50,aggressor,Player_172.19.117.18,Player_172.19.114.48,5
2024-05-23 12:47:18,11,50,aggressor,Player_172.19.116.18,Player_172.19.116.18,0
2024-05-23 12:47:25,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,5
2024-05-23 12:47:27,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,6
2024-05-23 12:47:27,11,50,aggressor,Player_172.19.119.51,Player_172.19.119.51,5
2024-05-23 12:47:28,11,50,aggressor,Player_172.19.117.18,Player_172.19.114.48,6
2024-05-23 12:47:34,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,6
2024-05-23 12:47:39,11,50,aggressor,Player_172.19.120.104,Player_172.19.116.18,1
2024-05-23 12:47:41,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,7
2024-05-23 12:47:41,11,50,aggressor,Player_172.19.119.51,Player_172.19.119.51,6
2024-05-23 12:47:42,11,50,aggressor,Player_172.19.114.48,Player_172.19.120.104,6
2024-05-23 12:47:52,11,50,aggressor,Player_172.19.120.104,Player_172.19.116.18,2
2024-05-23 12:47:54,11,50,aggressor,Player_172.19.114.48,Player_172.19.114.48,5
2024-05-23 12:47:57,11,50,aggressor,Player_172.19.117.18,Player_172.19.116.18,7
2024-05-23 12:47:58,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,0
2024-05-23 12:47:58,11,50,aggressor,Player_172.19.114.48,Player_172.19.137.208,6
2024-05-23 12:48:04,11,50,aggressor,Player_172.19.119.51,Player_172.19.116.18,8
2024-05-23 12:48:07,11,50,aggressor,Player_172.19.119.51,Player_172.19.114.48,9
2024-05-23 12:48:12,11,50,aggressor,Player_172.19.119.51,Player_172.19.117.18,10
2024-05-23 12:48:14,11,50,aggressor,Player_172.19.137.208,Player_172.19.120.104,3
2024-05-23 12:48:15,11,50,aggressor,Player_172.19.117.18,Player_172.19.137.208,8
2024-05-23 12:48:19,11,50,aggressor,Player_172.19.114.48,Player_172.19.117.18,7
2024-05-23 12:48:21,11,50,aggressor,Player_172.19.119.51,Player_172.19.120.104,11
2024-05-23 12:48:22,11,50,aggressor,Player_172.19.114.48,Player_172.19.116.18,8
2024-05-23 12:48:26,11,50,aggressor,Player_172.19.137.208,Player_172.19.119.51,4
2024-05-23 12:48:27,11,50,aggressor,Player_172.19.137.208,Player_172.19.114.48,5
2024-05-23 12:48:28,11,50,aggressor,Player_172.19.137.208,Player_172.19.117.18,6
2024-05-23 12:48:32,11,50,aggressor,Player_172.19.119.51,Player_172.19.137.208,12
2024-05-23 12:48:39,11,50,aggressor,Player_172.19.114.48,Player_172.19.120.104,9
